FIPS,trump_vs_senate,trump_vs_house
13049,-13.15003194,-1.69911172
13051,-6.739446417,-3.103993213
13053,-8.072972779,3.677485896
13055,-4.347668672,0.919077557
13057,-7.115797633,-2.234005535
13059,-7.399812589,-3.365120862
13061,-9.696157102,3.723610056
13063,6.01645615,1.947964985
13065,-14.516523,-3.403540165
13067,-8.984164497,-8.527510373
13069,-8.790379853,-0.882197151
13071,-7.380491634,-1.91918372
13073,-11.16685168,-1.624287669
13075,-10.03803487,-1.61043487
13077,-6.188907117,-2.601100908
13079,-4.290220748,3.145212022
13081,-10.22708769,2.269285979
13083,-8.995777731,-0.03533557
13085,-4.978444549,-0.972945246
13087,-18.88324662,3.629228261
13089,4.20759122,-20.55684471
13091,-6.146835153,-1.849244554
13093,-9.793479606,3.122022072
13095,-6.313352502,2.719514426
13097,-6.712581071,1.089667217
13099,-18.13488717,4.823759637
13101,,-0.922997368
13103,-5.610253376,-2.953447509
13105,-13.91314676,-1.4459295
13107,-8.093933628,-2.092092092
13109,-8.121295478,-1.866456798
13111,-4.523855939,-0.726832181
13113,-7.5094897,19.69856875
13115,-5.636007721,-0.41729047
13117,-10.02430346,-12.55173434
13119,-8.151676961,-1.030994919
13121,-6.919587222,-19.44785852
13123,-4.852326611,-0.80275558
13125,-3.675313806,-0.329413641
13127,-13.51151643,-2.242158557
13129,-5.163896224,0.561301413
13131,-15.49114061,3.389706482
13133,-9.652668661,-3.385998929
13135,-9.846392626,-13.83908716
13137,-5.670931653,-0.781399054
13139,-8.55161057,-1.543198649
13141,-5.769792902,-1.249856802
13143,-2.869358534,0.105457035
13145,-5.772509246,-2.582540324
13147,-12.05477351,-1.381782649
13149,-2.696790337,-1.172559961
13151,-7.240275886,10.66102224
13153,-7.307323362,-2.089087786
13155,-7.021783817,-1.268554855
13157,-5.76411671,-1.138711465
13159,-4.78521498,-1.16161294
13161,,0.049702896
13163,-10.29366889,-1.035425554
13165,-7.728448573,-1.740739468
13167,-7.449208162,-1.720012635
13169,-5.385951908,-1.455028723
13171,-3.742007572,-1.459586767
13173,-14.28321995,-1.964615303
13175,-7.232679688,-1.3058593
13177,-6.316703196,3.657873658
13179,-8.618511259,-1.592223169
13181,-9.745554743,-1.289297074
13183,-7.137986877,-1.294056415
13185,-18.01707568,-1.824385479
13187,-5.288313631,-0.912399612
13189,-11.0328328,-1.353535336
13191,-9.443480488,-2.297390154
13193,-6.6837731,2.797585065
13195,-5.36873751,-0.51222232
13197,-7.413628811,4.808873071
13199,-5.884334671,-1.600874668
13201,-13.29050672,5.192466945
13205,-8.78334086,5.427389405
13207,-4.661010947,-1.306246843
13209,-6.552137071,-1.502447111
13211,-5.632379932,-2.282155772
13213,-8.648691931,0.110147937
13215,-8.327471594,-26.10082617
13217,-6.960579702,-30.35812873
13219,-7.660700312,-4.017905686
13221,-5.034735695,-1.027272215
